ID_ENCUESTA;ID_VEHICULO;TIPOVEHICULO;COMBUSTIBLE;MUNICIPIO_MATRICULA;PERTENECE_VEHICULO;PERSONA_DUENOVEHICULO;EXENTO_PICOYPLACA;RAZON_EXENTO;DONDE_GUARDAVEHICULO;VALOR_PARQUEO
18543379;1;Automovil;Solo gasolina;BOGOTA;S;;N;vacio;Garaje/parqueadero propio;
18543425;1;Automovil;Solo gasolina;BOGOTA;S;N;N;vacio;Garaje/parqueadero propio;
18543426;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18543428;1;Automovil;Solo gasolina;CUNDINAMARCA;S;N;N;vacio;Garaje/parqueadero propio;
18543442;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18543443;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18543445;1;Moto;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18543589;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18543591;1;Automovil;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18543591;2;Automovil;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18543622;1;Moto;Solo gasolina;754;S;S;N;vacio;Garaje/parqueadero propio;
18543657;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18543658;1;Moto;Solo gasolina;BOGOTA;N;;S;Fuerzas militares y policia;Garaje/parqueadero propio;
18543835;1;Moto;Solo gasolina;PASTO;S;N;S;;Garaje/parqueadero propio;
18543904;1;Moto;Solo gasolina;CHIA;;;S;;Garaje/parqueadero propio;
18543907;1;Campero;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18543911;1;Moto;Solo gasolina;BOGOTA;S;S;S;;Garaje/parqueadero propio;
18544118;1;Automovil;Solo gasolina;BOGOTA;S;S;N;vacio;Garaje/parqueadero propio;
18544146;1;Moto;Solo gasolina;BOGOTA;S;N;S;;Garaje/parqueadero propio;
18544149;1;Automovil;Solo gasolina;GRANADA META;S;S;N;vacio;Garaje/parqueadero propio;
