"Latitud";"Longitud";"Numero_Intersecciones";"LTS";"ID_Nodo"
4.61542042524413;-74.0729369407069;1;2;1
4.61563438307493;-74.0728449088456;3;4;2
4.6157058;-74.0729028;2;4;3
4.6157736;-74.008397;1;1;4
4.6157811;-74.0727818;2;2;5
4.6158064;-74.0082025;1;1;6
4.6158532;-74.0083227;2;1;7
4.6158559;-74.0082435;2;1;8
4.6158982;-74.0730499;3;4;9
4.6159494;-74.0726758;2;2;10
4.6162036;-74.0725286;3;2;11
4.6162226;-74.0732078;2;4;12
4.6162653;-74.0732212;2;4;13
4.616276;-74.0725601;2;1;14
4.6163242;-74.0732226;2;2;15
4.6163348;-74.0726244;2;1;16
4.6163763;-74.0726928;2;1;17
4.6163823;-74.0732112;3;2;18
4.6164057;-74.0727666;2;1;19
4.6164084;-74.0731689;2;1;20
4.6164204;-74.0731991;2;2;21
4.6164231;-74.0731059;2;1;22
4.6164284;-74.0730281;2;1;23
4.6164289;-74.0728974;2;1;24
4.6164665;-74.0731736;2;2;25
4.6165006;-74.0731448;2;2;26
4.6165795;-74.0730771;3;2;27
4.6166052;-74.0156095;2;1;28
4.6166107;-74.0155335;2;1;29
4.6166437;-74.0154942;2;1;30
4.6166506;-74.0157286;2;1;31
4.6167388;-74.0158532;2;1;32
4.6167522;-74.0736254;2;4;33
4.6168161;-74.0159395;2;1;34
4.6168562;-74.0153645;1;1;35
4.6169261;-74.0160072;2;1;36
4.6170045;-74.073377;3;2;37
4.6170143;-74.0160247;2;1;38
4.6170898;-74.0738612;2;4;39
4.6173709;-74.0719257;2;2;40
4.6174079;-74.0726469;3;1;41
4.6175;-74.0716807;1;2;42
4.6175847;-74.0718088;2;2;43
4.6176089;-74.0717351;2;2;44
4.6176143;-74.0178831;2;1;45
4.6176187;-74.0179497;2;1;46
4.6176265;-74.0160674;2;1;47
4.6176318;-74.0730592;4;1;48
4.6176448;-74.0178372;2;1;49
4.6176545;-74.0738357;3;2;50
4.6176546;-74.0180021;2;1;51
4.6176666;-74.071764;4;2;52
4.6176938;-74.0178186;2;1;53
4.6177778;-74.0278392;1;2;54
4.617818;-74.0717584;2;2;55
4.6178234;-74.0717183;2;2;56
4.6178299;-74.0717985;2;2;57
4.6178429;-74.0734482;2;1;58
4.6178481;-74.0277626;2;2;59
4.6178493;-74.0718278;2;2;60
4.6178498;-74.0178018;2;1;61
4.6178593;-74.0716667;3;2;62
4.6178768;-74.0735106;3;2;63
4.61788;-74.0718557;3;2;64
4.617903;-74.0182564;2;1;65
4.6179062;-74.0161776;2;1;66
4.6179095;-74.0177858;2;1;67
4.6179109;-74.0276609;2;2;68
4.6179116;-74.0171533;2;1;69
4.6179236;-74.0170495;2;1;70
4.6179421;-74.0199151;2;1;71
4.6179421;-74.0177465;2;1;72
4.617953;-74.0177017;2;1;73
4.6179552;-74.0183572;2;1;74
4.6179563;-74.0199938;2;1;75
4.6179563;-74.0162366;2;1;76
4.6179599;-74.0195817;2;1;77
4.6179791;-74.019146;2;1;78
