"AREA";"Zona_Num_N";"id";"LocNombre";"Latitud";"Longitud"
0.96;83;27;"USAQUEN";4.7205421;-74.0245335
0.32;854;28;"USAQUEN";4.7327973;-74.0204654
0.66;57;29;"USAQUEN";4.7427368;-74.019256
0.19;20;30;"USAQUEN";4.7492717;-74.0221292
0.15;18;31;"USAQUEN";4.7548006;-74.0226759
0.23;19;32;"USAQUEN";4.7522978;-74.0207559
0.24;84;33;"USAQUEN";4.7188017;-74.0235287
0.21;82;42;"USAQUEN";4.714561;-74.0304809
0.31;85;43;"USAQUEN";4.7094084;-74.0268212
0.08;81;44;"USAQUEN";4.7170822;-74.0309968
0.12;80;45;"USAQUEN";4.7190143;-74.0301673
0.15;79;46;"USAQUEN";4.7212127;-74.0294348
0.12;78;47;"USAQUEN";4.7226904;-74.0296995
4.57;193;48;"ENGATIVA";4.7189389;-74.1409397
23.26;1;52;"SUBA";4.8000466;-74.0705804
4.09;119;59;"ENGATIVA";4.7273118;-74.1166819
0.48;76;60;"USAQUEN";4.7167597;-74.0373129
0.4;75;61;"USAQUEN";4.7194479;-74.0366637
0.17;74;62;"USAQUEN";4.7217621;-74.0367595
0.45;73;63;"USAQUEN";4.7250687;-74.0364011
0.59;72;64;"USAQUEN";4.7300918;-74.0361641
2.07;87;65;"USAQUEN";4.7085434;-74.0412064
0.46;86;66;"USAQUEN";4.7074453;-74.0305181
0.61;154;67;"USAQUEN";4.7012416;-74.0258947
0.9;194;68;"ENGATIVA";4.7156192;-74.1388235
0.81;195;69;"ENGATIVA";4.7092464;-74.1392479
0.55;196;70;"ENGATIVA";4.704958;-74.1311291
0.8;197;71;"ENGATIVA";4.6989223;-74.1251246
0.78;201;72;"ENGATIVA";4.6887209;-74.1146471
0.36;191;73;"ENGATIVA";4.7149375;-74.1255438
0.48;190;74;"ENGATIVA";4.70758;-74.125558
1.06;302;75;"ENGATIVA";4.6808903;-74.1174786
0.93;192;76;"ENGATIVA";4.720962;-74.1238763
0.31;189;77;"ENGATIVA";4.7127935;-74.1202716
0.79;120;78;"ENGATIVA";4.7135674;-74.1098817
1.07;187;79;"ENGATIVA";4.7064235;-74.1163775
0.25;188;80;"ENGATIVA";4.7107272;-74.1181051
1.06;37;81;"SUBA";4.7504378;-74.1155988
0.41;38;82;"SUBA";4.7565692;-74.1030305
1.71;36;83;"SUBA";4.7567805;-74.1135552
1.22;33;85;"SUBA";4.7555496;-74.0875694
4.38;34;86;"SUBA";4.7689492;-74.0912745
0.25;840;87;"SUBA";4.7501653;-74.0799095
0.66;836;88;"SUBA";4.7386465;-74.0808955
1.65;97;89;"SUBA";4.7214701;-74.0790903
0.23;837;90;"SUBA";4.735572;-74.0756125
0.54;99;91;"SUBA";4.7313893;-74.0840185
0.48;98;92;"SUBA";4.7279638;-74.080919
0.23;31;93;"SUBA";4.7535146;-74.0750455
1.12;30;94;"SUBA";4.7550166;-74.0700975
0.63;107;95;"SUBA";4.737903;-74.0932354
0.96;112;96;"SUBA";4.7311891;-74.101912
1.43;41;97;"SUBA";4.7471575;-74.0897387
0.59;104;98;"SUBA";4.7246587;-74.0988169
0.58;40;99;"SUBA";4.7511721;-74.0994841
0.41;39;100;"SUBA";4.7552041;-74.0968357
0.76;88;101;"USAQUEN";4.7119658;-74.0513421
